,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
scene,0,0,0,0.0533761877499,0,0,0
rendering,0,0,0,0.0116035190761,0,0,0
fully,0,0,0,0,0.00662550272065,0,0
level,0,0,0,0,0,0,0.00392980844643
transmitted,0,0,0,0,0,0.00609620974015,0
truth,0,0,0.00458508517685,0,0,0,0
side,0.0027233977576,0,0,0,0,0.00392469601659,0
diﬀerent,0,0,0.00825315331833,0,0,0,0
chunk,0,0,0,0,0.0245143600664,0,0
reduce,0,0,0,0,0,0,0.00392980844643
et,0,0,0,0.0104431671685,0,0,0
event,0,0,0,0,0,0.00731545168818,0
canvas,0,0,0,0.00696211144564,0,0,0
container,0,0,0,0.00448215731125,0,0.00549457442323,0
network,0,0,0,0,0.00981053737671,0,0.00590329234565
israpyes,0,0,0,0,0,0.00609620974015,0
since,0,0,0,0.0052291835298,0,0.00470963521991,0
content,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTT,0,0,0,0,0,0,0.0124443934137
adaptive,0.0126907183634,0,0,0,0,0,0
issue,0,0,0,0.00464140763042,0,0,0
initialization,0,0,0,0,0,0,0.00392980844643
architecture,0,0.00466869037681,0,0,0,0,0
timeline,0.00423023945447,0,0,0,0,0,0
standard,0.0081701932728,0,0,0,0.00426545103335,0,0
base,0.0063453591817,0,0,0,0,0,0
deliver,0.0063453591817,0,0,0,0,0,0
york,0,0,0,0.00464140763042,0,0,0
byte,0,0,0,0,0,0,0.00523974459523
vsplitter,0,0,0.00458508517685,0,0,0,0
interaction,0,0,0.00550210221222,0,0,0,0
created,0,0,0.00458508517685,0,0,0,0
applica,0,0.00466869037681,0,0,0,0,0
transfer,0,0,0,0,0,0,0.00392980844643
timed,0,0,0,0,0,0.00609620974015,0
bitrates,0,0,0,0,0.00463785190446,0,0
version10,0,0,0,0,0,0.00487696779212,0
first,0,0,0,0,0.00230792743721,0.00212355353481,0.00228151561195
render,0,0,0,0.00464140763042,0,0,0
encoding,0.0054467955152,0,0,0,0.01151671779,0,0
coding,0,0,0,0,0.00795060326478,0,0
number,0,0,0.00319433689119,0,0.00259641836687,0,0.00712973628734
con,0,0,0.00458508517685,0,0,0,0
ISO,0,0,0,0,0.00463785190446,0,0
carry,0,0,0,0.00580175953803,0,0,0
message,0,0.00373495230145,0,0,0,0,0
quality,0.0027233977576,0,0,0,0,0,0.00252998243385
size,0.00276292780561,0,0,0,0.00288490929652,0,0.00798530464182
•,0,0,0,0.00373513109271,0,0.00313975681327,0
annotated,0,0.00466869037681,0,0,0,0,0
service,0.0380721550902,0,0,0,0,0,0
NY,0,0,0,0.00464140763042,0,0,0
system,0.00729933636438,0.0037594150821,0.0018460464258,0,0.00400133862671,0,0
annotation,0,0.00560242845217,0,0,0,0,0
master,0,0.0072136063445,0.00295184488335,0,0,0,0
draft,0,0,0,0,0,0.00609620974015,0
XC,0,0,0,0,0,0,0.00982452111607
tool,0.006808494394,0,0,0.00448215731125,0,0,0
accurately,0.0063453591817,0,0,0,0,0,0
broadcast,0.0380721550902,0,0,0,0,0,0
part,0,0.00162629147867,0,0,0.00201943650756,0.00212355353481,0
copy,0.0063453591817,0,0,0,0,0,0
wide,0,0,0,0.00348105572282,0,0,0
b,0,0,0.00550210221222,0,0,0,0
HTTP11,0.0040850966364,0,0,0,0,0,0.00463830112873
tree,0,0.0072136063445,0.0123977485101,0,0,0,0
second,0.00121655606073,0.00107411859489,0,0.00233590370635,0.00133377954224,0,0
project,0.00423023945447,0,0,0,0,0,0
future,0,0,0,0,0.00397530163239,0,0
tion,0,0.00325258295734,0.00399292111398,0.00202098475942,0,0,0
providing,0,0,0,0.00464140763042,0,0,0
browser,0,0.00325258295734,0,0.00202098475942,0,0.00637066060442,0
function,0,0.00360680317225,0.0177110693001,0,0,0,0
demonstration,0.0126907183634,0,0,0,0,0,0
latency,0.0174985427689,0,0,0,0.0158670011308,0,0.0045630312239
able,0,0,0,0.00696211144564,0,0,0
mechanism,0,0,0,0.00298810487417,0,0.00392469601659,0
client,0.0036573069198,0,0,0.00140447564481,0.00412427664909,0.00147575542378,0.00396382641593
note,0,0,0.00295184488335,0,0,0,0.00252998243385
also,0,0,0,0.00252623094928,0.00288490929652,0,0.00313708396643
edge,0.00846047890894,0,0,0,0,0,0
channel,0.0148058380906,0,0,0,0,0,0
J,0,0,0,0.00812246335324,0,0,0
multiple,0,0,0,0,0,0,0.00458477652083
buffer,0.0105755986362,0,0,0,0,0,0
M,0,0,0.00295184488335,0.00298810487417,0,0,0
device,0,0.0216408190335,0.0129881174868,0,0,0,0
measured,0,0,0,0,0,0,0.00523974459523
class,0,0.00653616652754,0,0,0,0,0
web3d,0,0,0,0.00464140763042,0,0,0
request,0,0,0,0,0.00554508634336,0,0.00927660225745
concolato,0.00846047890894,0,0,0,0,0,0
sequence,0,0,0,0,0.01151671779,0,0.0050599648677
ISOBMFF,0,0,0,0,0.00530040217652,0,0
show,0.00276292780561,0,0,0,0.00201943650756,0,0.00171113670896
