,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
level,0,0,0,0,0,0,0.00201952204645
transmitted,0,0,0,0,0,0.0031328320802,0
truth,0,0,0.00235626767201,0,0,0,0
side,0.00217391304348,0,0,0,0,0.0031328320802,0
diﬀerent,0,0,0.00424128180961,0,0,0,0
chunk,0,0,0,0,0.0125978890024,0,0
reduce,0,0,0,0,0,0,0.00201952204645
et,0,0,0,0.00536672629696,0,0,0
event,0,0,0,0,0,0.00375939849624,0
canvas,0,0,0,0.00357781753131,0,0,0
container,0,0,0,0.00357781753131,0,0.00438596491228,0
network,0,0,0,0,0.00783112019067,0,0.00471221810838
israpyes,0,0,0,0,0,0.0031328320802,0
since,0,0,0,0.00417412045319,0,0.00375939849624,0
content,0.00652173913043,0.00575815738964,0.0160226201697,0.0190816935003,0.00374531835206,0.0100250626566,0.00437563110064
RTT,0,0,0,0,0,0,0.00639515314709
adaptive,0.00652173913043,0,0,0,0,0,0
issue,0,0,0,0.00238521168754,0,0,0
IS,0,0,0,0,0,0,0.0191854594413
common,0,0,0,0,0,0.00250626566416,0
timeline,0.00217391304348,0,0,0,0,0,0
standard,0.00652173913043,0,0,0,0.00340483486551,0,0
base,0.00326086956522,0,0,0,0,0,0
york,0,0,0,0.00238521168754,0,0,0
byte,0,0,0,0,0,0,0.00269269606193
vsplitter,0,0,0.00235626767201,0,0,0,0
interaction,0,0,0.00282752120641,0,0,0,0
created,0,0,0.00235626767201,0,0,0,0
applica,0,0.00239923224568,0,0,0,0,0
timed,0,0,0,0,0,0.0031328320802,0
support,0,0,0,0.00298151460942,0,0,0
version10,0,0,0,0,0,0.00250626566416,0
first,0,0,0,0,0.00272386789241,0.00250626566416,0.00269269606193
initial,0,0,0,0,0.00204290091931,0,0.00370245708516
render,0,0,0,0.00238521168754,0,0,0
encoding,0.00434782608696,0,0,0,0.00919305413687,0,0
coding,0,0,0,0,0.00408580183861,0,0
number,0,0,0.00377002827521,0,0.00306435137896,0,0.00841467519354
con,0,0,0.00235626767201,0,0,0,0
ISO,0,0,0,0,0.00238338440586,0,0
carry,0,0,0,0.00298151460942,0,0,0
message,0,0.00191938579655,0,0,0,0,0
quality,0.00217391304348,0,0,0,0,0,0.00201952204645
size,0.00326086956522,0,0,0,0.00340483486551,0,0.00942443621676
•,0,0,0,0.00298151460942,0,0.00250626566416,0
annotated,0,0.00239923224568,0,0,0,0,0
service,0.0195652173913,0,0,0,0,0,0
start,0,0,0,0,0.00272386789241,0,0.00706832716257
system,0.0130434782609,0.00671785028791,0.00329877474081,0,0.00715015321757,0,0
response,0,0,0,0,0,0,0.0040390440929
master,0,0.00575815738964,0.00235626767201,0,0,0,0
draft,0,0,0,0,0,0.0031328320802,0
XC,0,0,0,0,0,0,0.00504880511612
tool,0.0054347826087,0,0,0.00357781753131,0,0,0
accurately,0.00326086956522,0,0,0,0,0,0
broadcast,0.0195652173913,0,0,0,0,0,0
part,0,0.00191938579655,0,0,0.00238338440586,0.00250626566416,0
frag,0,0,0,0,0,0.00250626566416,0
copy,0.00326086956522,0,0,0,0,0,0
wide,0,0,0,0.00178890876565,0,0,0
b,0,0,0.00282752120641,0,0,0,0
HTTP11,0.00326086956522,0,0,0,0,0,0.00370245708516
tree,0,0.00575815738964,0.00989632422243,0,0,0,0
second,0.00217391304348,0.00191938579655,0,0.00417412045319,0.00238338440586,0,0
project,0.00217391304348,0,0,0,0,0,0
future,0,0,0,0,0.00204290091931,0,0
tion,0,0.00383877159309,0.00471253534402,0.00238521168754,0,0,0
providing,0,0,0,0.00238521168754,0,0,0
browser,0,0.00383877159309,0,0.00238521168754,0,0.00751879699248,0
multiscreen,0,0.00767754318618,0.00612629594722,0,0,0,0
demonstration,0.00652173913043,0,0,0,0,0,0
latency,0.020652173913,0,0,0,0.0187265917603,0,0.00538539212386
able,0,0,0,0.00357781753131,0,0,0
mechanism,0,0,0,0.00238521168754,0,0.0031328320802,0
note,0,0,0.00235626767201,0,0,0,0.00201952204645
also,0,0,0,0.00298151460942,0.00340483486551,0,0.00370245708516
client,0.0108695652174,0,0,0.00417412045319,0.0122574055158,0.00438596491228,0.011780545271
channel,0.00760869565217,0,0,0,0,0,0
endtoend,0,0,0,0,0,0.00250626566416,0
multiple,0,0,0,0,0,0,0.00235610905419
buffer,0.0054347826087,0,0,0,0,0,0
M,0,0,0.00235626767201,0.00238521168754,0,0,0
device,0,0.0172744721689,0.0103675777568,0,0,0,0
segment,0.0054347826087,0,0,0,0.023493360572,0,0.00673174015483
class,0,0.00335892514395,0,0,0,0,0
web3d,0,0,0,0.00238521168754,0,0,0
request,0,0,0,0,0.00442628532516,0,0.00740491417031
concolato,0.00434782608696,0,0,0,0,0,0
multimedia,0,0.00191938579655,0.00471253534402,0.00715563506261,0.00238338440586,0.0062656641604,0
show,0.00326086956522,0,0,0,0.00238338440586,0,0.00201952204645
text,0,0,0,0,0,0.00501253132832,0
JS,0,0.0052783109405,0,0,0,0,0
session,0.00217391304348,0,0,0,0,0,0.00437563110064
ground,0,0,0.00235626767201,0,0,0,0
slow,0,0,0,0,0,0,0.0040390440929
based,0,0.00719769673704,0.00659754948162,0,0,0,0.0040390440929
distributed,0,0.00479846449136,0.00235626767201,0,0,0,0
experiment,0,0,0,0,0.00374531835206,0,0.00336587007742
local,0,0,0.00282752120641,0,0.00306435137896,0,0
achieve,0.00434782608696,0,0,0,0,0,0
de,0,0.00287907869482,0,0,0,0,0
scalable,0.00217391304348,0,0,0,0,0,0
DASH,0.00869565217391,0,0,0,0.0180456247872,0,0.00942443621676
synchronization,0.00217391304348,0.00191938579655,0,0.00596302921884,0,0,0
new,0,0.00191938579655,0,0.00357781753131,0.00204290091931,0.00250626566416,0.00235610905419
timing,0.00217391304348,0,0,0,0,0,0
measured,0,0,0,0,0,0,0.00269269606193
secondary,0,0.00383877159309,0,0,0,0,0
resource,0,0,0,0,0,0,0.00471221810838
progressive,0,0,0,0,0,0.0031328320802,0
dashcast,0,0,0,0,0.00306435137896,0,0
architecture,0,0.00239923224568,0,0,0,0,0
initcwnd,0,0,0,0,0,0,0.00471221810838
automatic,0,0,0.00329877474081,0,0,0,0
requirement,0.00217391304348,0,0,0,0,0,0
set,0,0,0.00518378887842,0.00357781753131,0,0.0031328320802,0.00437563110064
reference,0,0,0,0.00238521168754,0,0,0
frame,0.0054347826087,0,0,0,0.0122574055158,0,0
startup,0,0,0,0,0,0,0.00302928306967
–,0,0,0,0,0.00204290091931,0,0
result,0,0.00287907869482,0.0103675777568,0,0,0,0.00269269606193
movie,0.0054347826087,0,0,0,0,0,0
TCP,0,0,0,0,0,0,0.0185122854258
label,0,0,0.00471253534402,0,0,0,0
approach,0,0.00383877159309,0.00612629594722,0.00298151460942,0.00885257065032,0.0031328320802,0.011780545271
available,0,0,0,0.00238521168754,0.00238338440586,0,0
C,0,0,0,0.00238521168754,0,0,0
