,15853,13210,14732,14729,13808,14735,12908,14733,14431,15631,15591,14563,15847,13870,14939,14562,15467,12907,14428,15849,14193,15580,15848,12909,14349,15466,14736,14565,13809,12480,15463,12906,14351,12680,13225,14567,14935,14559,14719,14333,14734
new,0,0,0,0,0.0119760479042,0,0,0.0036866359447,0,0,0,0,0,0.00252143217347,0.0118577075099,0,0,0,0,0,0,0,0,0,0.0026455026455,0,0,0,0,0.00355618776671,0,0.0108695652174,0.00796812749004,0,0.00517890772128,0,0.00495867768595,0,0,0.00588235294118,0
groupid,0,0,0,0,0,0,0,0,0,0,0,0.00289687137891,0,0,0,0,0,0,0,0,0.0151515151515,0,0,0,0.0119047619048,0,0,0,0,0,0,0,0,0,0,0,0,0.00704225352113,0,0,0
metadata,0,0,0,0,0,0,0,0.00460829493088,0,0,0,0,0,0.00252143217347,0,0,0,0,0,0,0,0,0.00662251655629,0.00549450549451,0,0,0,0.0080971659919,0.00295857988166,0,0.00623052959502,0,0,0.00840336134454,0,0,0.0280991735537,0,0,0,0
newmpd,0,0,0,0,0,0,0,0,0,0,0,0,0.00289435600579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00414078674948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
protection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
china,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549450549451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
codecs,0,0,0,0,0,0,0,0,0,0,0.00575373993096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202429149798,0,0,0,0,0,0,0,0,0,0,0,0,0.00851063829787
bitrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405455215628,0,0
‘dond’,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026455026455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
study,0,0,0.00358422939068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00207039337474,0,0,0,0.00213371266003,0.00623052959502,0,0,0,0,0,0,0,0,0,0
…”,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212765957447
essentialproperty,0,0,0,0,0,0,0,0,0,0,0,0.018539976825,0,0,0,0.0218068535826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821596244131,0,0,0
runlength,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00252525252525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
