,concolato,tiddi,0602117v1,abdessalemprobabilistic,MPEG-DASH
semantic,0,0.0162981054424,0,0,0
dynamic,0,0,0,0,0.0103169096951
existing,0.00899127325382,0,0,0,0
scalar,0,0,0.0136973439356,0,0
query,0,0,0,0.0228559230168,0
whose,0,0.00679087726765,0,0,0
graph,0,0.0298798599777,0,0,0
technique,0,0.00814905272119,0,0,0
program,0.049452002896,0,0,0,0
presentation,0.148356008688,0,0,0,0
